plot,counter,date,individual,treatment,species,climate,height,capsule size,seedcapsule,seed_count,status,viable,sample,status_paperbag,organzabag_size,first seedcap,herbivory,comment,entered,labmeeting,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,17,1.1,6,45,open,23,single,open,,,0,color,961,,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,20,1.1,4,59,open,47,single,open,,,0,"color, additiol 7 yellow and small included in seed_count",963,,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,21,1.3,1,63,open,44,single,open,,,0,additiol 4 yellow but same size as viable included in seed_count,891,,,
2_5,Martin,29.10.2019,C1,control,Dia_car,future,11,1.3,1,69,ripe_capsule,62,single,open,,,0,,1433,,,
1_1,Martin,27.08.2019,C2,control,Dia_car,ambient,21,1.4,2,57,unripe,50,single,unripe,,,0,"measured in field, 1.1 in lab, to early yellow",890,,,
1_1,Garp,02.09.2019,C3,control,Dia_car,ambient,18,1,10,71,ripe_capsule,36,single,open,,,0,,4129,,,
1_1,Garp,04.09.2019,C3,control,Dia_car,ambient,17,0.7,2,47,ripe_capsule,19,single,open,,,0,,4073,,,
1_1,Garp,04.09.2019,C3,control,Dia_car,ambient,17,0.9,1,44,ripe_capsule,16,single,open,,,0,,4072,,,
4_4,Andreas,09.08.2019,C1,control,Dia_car,future,11.5,1.6,8,33,ripe_capsule,13,,open,,,0,,,,,
6_3,Andreas,23.08.2019,C1,control,Dia_car,future,13,1.2,3,59,ripe_capsule,43,,open,,,0,off,,,,
1_1,Andreas,09.08.2019,C3,control,Dia_car,ambient,8,1.3,2,49,unripe,21,,open,,,0,,,,,
1_1,Garp,09.08.2019,C3,control,Dia_car,ambient,10,0.8,4,73,unripe,0,single,closed,,,0,,4353,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,13.5,,17,0,unripe,0,single,unripe,,,0,,2336,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,8,1.5,18,0,unripe,0,single,unripe,,,1,Herbivory,2337,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,18,0.7,19,25,unripe,0,single,unripe,,,0,,2338,,,
1_1,Amibeth,10.09.2019,C2,control,Dia_car,ambient,21.5,0.7,20,19,unripe,1,single,open,,,0,,2339,,,
1_1,Andreas,12.08.2019,C3,control,Dia_car,ambient,9,1,1,53,unripe,16,,open,,,0,22 unripe smaller,,,,
1_1,Andreas,12.08.2019,C3,control,Dia_car,ambient,9,1.3,2,38,unripe,14,,open,,,0,misc. Und 6 unripe smaller,,,,
1_1,Martin,17.10.2019,C3,control,Dia_car,ambient,12,0.5,1,28,unripe,0,single,open,,,0,,1766,,,
1_1,Sanne,18.09.2019,C3,control,Dia_car,ambient,12,1,1,4,open,0,single,open,,,0,,1498,1,,
1_1,Martin,27.08.2019,C3,control,Dia_car,ambient,10,0.9,1,50,open,24,single,open,,,0,"color, additiol 12 yellow included in seed_count",926,,,
